Week	Day	Date	Topic in Main Class$^*$	Post-Class Quiz	Exams$^{\ddagger}$
1	Thur	25-Aug	Course Information		
2	Tues	30-Aug	Ch 1		
	Thur	1-Sep	Ch 2		
3	Tues	6-Sep	Ch 3	Ch 1	
	Thur	8-Sep	Ch 4	Ch 2	
4	Tues	13-Sep	Ch 5	Ch 3	
	Thur	15-Sep	Ch 6	Ch 4	Exam 1 window opens$^{\dagger}$
5	Tues	20-Sep	Ch 8	Ch 5	Exam 1 window closes$^{\ddagger}$
	Thur	22-Sep	Ch 9	Ch 6	
6	Tues	27-Sep	Ch 10	Ch 8	
	Thur	29-Sep	Ch 11	Ch 9	
7	Tues	4-Oct	Ch 12	Ch 10	
	Thur	6-Oct	Ch 13	Ch 11	
8	Tues	11-Oct	**No class**	**Fall Break**	
	Thur	13-Oct	Ch 14 & 15	Ch 12	Exam 2 window opens$^{\dagger}$
9	Tues	18-Oct	Ch 17	Ch 13	Exam 2 window closes$^{\ddagger}$
	Thur	20-Oct	Ch 18	Ch 14	
10	Tues	25-Oct	Ch 19	Ch 15	
	Thur	27-Oct	Ch 20	Ch 17	
11	Tues	1-Nov	Review	no quiz	Exam 3 window opens$^{\dagger}$
	Thur	3-Nov	TBD	no quiz	Exam 3 window closes$^{\ddagger}$
12	Tues	8-Nov	Ch 21	Ch 18 \& 19	
	Thur	10-Nov	Ch 22	Ch 20	
13	Tues	15-Nov	Ch 23	Ch 21	
	Thur	17-Nov	Ch 24	Ch 22	
14	Tues	22-Nov	**No class**	**Thanksgiving**	
	Thur	24-Nov	**No class**	**Thanksgiving**	
15	Tues	29-Nov	Ch 7	Ch 23	
	Thur	1-Dec	Methods in Neuroscience	Ch 24	
16	Tues	6-Dec	Review	Ch 7	
	Fri	9-Dec	Finals Begin		Exam 4 window opens$^**$
	Wed	14-Dec	Finals End		Exam 4 window closes$^**$
